TOKEN,POS,LEMMA
﻿Dantès,PUNCT,﻿dantès
resta,PRON,rester
confondu,VERB,confondre
:,PUNCT,:
c',PRON,ce
était,AUX,être
",",PUNCT,","
en,ADP,en
effet,NOUN,effet
",",PUNCT,","
l',DET,le
explication,NOUN,explication
de,ADP,de
ce,PRON,ce
qui,PRON,qui
s',PRON,se
était,AUX,être
passé,VERB,passer
à,ADP,à
son,DET,son
insu,NOUN,insu
dans,ADP,dans
son,DET,son
esprit,NOUN,esprit
ou,CCONJ,ou
plutôt,ADV,plutôt
dans,ADP,dans
son,DET,son
âme,NOUN,âme
",",PUNCT,","
car,CCONJ,car
il,PRON,il
y,PRON,y
a,VERB,avoir
des,DET,un
pensées,NOUN,pensée
qui,PRON,qui
viennent,VERB,venir
de,ADP,de
la,DET,le
tête,NOUN,tête
",",PUNCT,","
et,CCONJ,et
d',DET,de
autres,ADJ,autre
qui,PRON,qui
viennent,VERB,venir
du,ADP,de
coeur,NOUN,coeur
.,PUNCT,.
 ,SPACE, 
«,NOUN,«
Et,CCONJ,et
puis,CCONJ,pouvoir
",",PUNCT,","
continua,NOUN,continua
Faria,ADJ,faria
",",PUNCT,","
depuis,ADP,depuis
tantôt,CCONJ,tantôt
douze,VERB,douze
ans,ADJ,an
que,SCONJ,que
je,PRON,je
suis,AUX,être
en,ADP,en
prison,NOUN,prison
",",PUNCT,","
j',PRON,je
ai,AUX,avoir
repassé,VERB,repasser
dans,ADP,dans
mon,DET,mon
esprit,NOUN,esprit
toutes,ADJ,tout
les,DET,le
évasions,NOUN,évasion
célèbres,ADJ,célèbre
.,PUNCT,.
Je,PRON,je
n',ADV,ne
ai,AUX,avoir
vu,VERB,voir
réussir,VERB,réussir
que,SCONJ,que
rarement,ADV,rarement
les,DET,le
évasions,NOUN,évasion
.,PUNCT,.
Les,DET,le
évasions,NOUN,évasion
heureuses,ADJ,heureux
",",PUNCT,","
les,DET,le
évasions,NOUN,évasion
couronnées,VERB,couronner
d',ADP,de
un,DET,un
plein,ADJ,plein
succès,NOUN,succès
",",PUNCT,","
sont,AUX,être
les,DET,le
évasions,NOUN,évasion
méditées,VERB,méditer
avec,ADP,avec
soin,NOUN,soin
et,CCONJ,et
lentement,ADV,lentement
préparées,VERB,préparer
;,PUNCT,;
c',PRON,ce
est,AUX,être
ainsi,ADV,ainsi
que,SCONJ,que
le,DET,le
duc,NOUN,duc
de,ADP,de
Beaufort,PROPN,Beaufort
s',PRON,se
est,AUX,être
échappé,VERB,échapper
du,ADP,de
château,NOUN,château
de,ADP,de
Vincennes,NOUN,vincenne
;,PUNCT,;
l',DET,le
abbé,NOUN,abbé
Dubuquoi,ADV,dubuquoi
du,ADP,de
Fort-l'Évêque,NOUN,fort-l'évêque
",",PUNCT,","
et,CCONJ,et
Latude,PROPN,Latude
de,ADP,de
la,DET,le
Bastille,PROPN,Bastille
.,PUNCT,.
Il,PRON,il
y,PRON,y
a,VERB,avoir
encore,ADV,encore
celles,ADJ,celle
que,SCONJ,que
le,DET,le
hasard,NOUN,hasard
peut,VERB,pouvoir
offrir,VERB,offrir
:,PUNCT,:
celles,PRON,celui
-là,PRON,-là
sont,AUX,être
les,DET,le
meilleures,NOUN,meilleur
;,PUNCT,;
attendons,NOUN,attendon
une,DET,un
occasion,NOUN,occasion
",",PUNCT,","
croyez,NOUN,croyez
-moi,PRON,moi
",",PUNCT,","
et,CCONJ,et
si,SCONJ,si
cette,DET,ce
occasion,NOUN,occasion
