TOKEN;POS;LEMMA
Dantès;NOM;Dantès
resta;VER:simp;rester
confondu;VER:pper;confondre
:;PUN;:
c';PRO:DEM;ce
était;VER:impf;être
,;PUN;,
en;PRP;en
effet;NOM;effet
,;PUN;,
l';DET:ART;le
explication;NOM;explication
de;PRP;de
ce;PRO:DEM;ce
qui;PRO:REL;qui
s';PRO:PER;se
était;VER:impf;être
passé;VER:pper;passer
à;PRP;à
son;DET:POS;son
insu;NOM;insu
dans;PRP;dans
son;DET:POS;son
esprit;NOM;esprit
ou;KON;ou
plutôt;ADV;plutôt
dans;PRP;dans
son;DET:POS;son
âme;NOM;âme
,;PUN;,
car;KON;car
il;PRO:PER;il
y;PRO:PER;y
a;VER:pres;avoir
des;PRP:det;du
pensées;NOM;pensée
qui;PRO:REL;qui
viennent;VER:pres;venir
de;PRP;de
la;DET:ART;le
tête;NOM;tête
,;PUN;,
et;KON;et
d';PRP;de
autres;ADJ;autre
qui;PRO:REL;qui
viennent;VER:pres;venir
du;PRP:det;du
coeur;NOM;cur
.;SENT;.
«;PUN:cit;«
Et;KON;et
puis;ADV;puis
,;PUN;,
continua;VER:simp;continuer
Faria;NAM;Faria
,;PUN;,
depuis;PRP;depuis
tantôt;ADV;tantôt
douze;NUM;douze
ans;NOM;an
que;PRO:REL;que
je;PRO:PER;je
suis;VER:pres;suivre|être
en;PRP;en
prison;NOM;prison
,;PUN;,
j';PRO:PER;je
ai;VER:pres;avoir
repassé;VER:pper;repasser
dans;PRP;dans
mon;DET:POS;mon
esprit;NOM;esprit
toutes;PRO:IND;tout
les;DET:ART;le
évasions;NOM;évasion
célèbres;ADJ;célèbre
.;SENT;.
Je;PRO:PER;je
n';ADV;ne
ai;VER:pres;avoir
vu;VER:pper;voir
réussir;VER:infi;réussir
que;KON;que
rarement;ADV;rarement
les;DET:ART;le
évasions;NOM;évasion
.;SENT;.
Les;DET:ART;le
évasions;NOM;évasion
heureuses;ADJ;heureux
,;PUN;,
les;DET:ART;le
évasions;NOM;évasion
couronnées;VER:pper;couronner
d';PRP;de
un;DET:ART;un
plein;ADJ;plein
succès;NOM;succès
,;PUN;,
sont;VER:pres;être
les;DET:ART;le
évasions;NOM;évasion
méditées;VER:pper;méditer
avec;PRP;avec
soin;NOM;soin
et;KON;et
lentement;ADV;lentement
préparées;VER:pper;préparer
";";PUN;";"
c';PRO:DEM;ce
est;VER:pres;être
ainsi;ADV;ainsi
que;KON;que
le;DET:ART;le
duc;NOM;duc
de;PRP;de
Beaufort;NAM;Beaufort
s';PRO:PER;se
est;VER:pres;être
échappé;VER:pper;échapper
du;PRP:det;du
château;NOM;château
de;PRP;de
Vincennes;NAM;Vincennes
";";PUN;";"
l';DET:ART;le
abbé;NOM;abbé
Dubuquoi;NAM;Dubuquoi
du;PRP:det;du
Fort-l'Évêque;NAM;Fort-l'Évêque
,;PUN;,
et;KON;et
Latude;NAM;Latude
de;PRP;de
la;DET:ART;le
Bastille;NAM;Bastille
.;SENT;.
Il;PRO:PER;il
y;PRO:PER;y
a;VER:pres;avoir
encore;ADV;encore
celles;PRO:DEM;celui
que;PRO:REL;que
le;DET:ART;le
hasard;NOM;hasard
